Code_UIC;Libelle_point_arret;train;RER;tram;bus;A;B;C;D;E;H;J;K;L;N;P;R;U;T4;TER
87684241;FERRIERES FONTENAY;1;;;;;;;;;;;;;;;1;;;
87683268;LAROCHE MIGENNES;1;;;;;;;;;;;;;;;;;;1
87276527;L'ISLE ADAM PARMAIN;1;;;;;;;;;1;;;;;;;;;
87334482;NEUVILLE UNIVERSITE;1;1;;;1;;;;;;;;1;;;;;;
87276543;AUVERS SUR OISE;1;;;;;;;;;1;;;;;;;;;
87276519;CHAMPAGNE SUR OISE;1;;;;;;;;;1;;;;;;;;;
87116731;COUILLY SAINT-GERMAIN QUINCY;1;;;;;;;;;;;;;;1;;;;
87758631;DENFERT ROCHEREAU;;1;;;;1;;;;;;;;;;;;;
87276493;MONTSOULT MAFFLIERS;1;;;;;;;;;1;;;;;;;;;
87758102;NATION;;1;;;1;;;;;;;;;;;;;;
87686030;PARIS - GARE DE LYON;1;1;;;1;;;1;;;;;;;;1;;;
87686667;PARIS BERCY (GARE DE BERCY);1;;;;;;;;;;;;;;;1;;;
87545210;SAINTE-GENEVIEVE DES BOIS;;1;;;;;1;;;;;;;;;;;;
87730069;VAL D'EUROPE;;1;;;1;;;;;;;;;;;;;;
87271437;VERT GALANT;;1;;;;1;;;;;;;;;;;;;
87681619;VILLABE;;1;;;;;;1;;;;;;;;;;;
87393363;BEYNES;1;;;;;;;;;;;;;1;;;;;
87276485;BOUFFEMONT MOISSELLES;1;;;;;;;;;1;;;;;;;;;
87758011;GARE DE LA DEFENSE RER A;;1;;;1;;;;;;;;;;;;;;
87116269;GUERARD LA CELLE SUR MORIN;1;;;;;;;;;;;;;;1;;;;
87386409;HOUILLES CARRIERES SUR SEINE;1;1;;;1;;;;;;1;;1;;;;;;
87393066;JAVEL;;1;;;;;1;;;;;;;;;;;;
87386680;LES MUREAUX;1;;;;;;;;;;1;;;;;;;;
87754994;MARNE LA VALLEE CHESSY;;1;;;1;;;;;;;;;;;;;;
87383281;MASSY VERRIERES;;1;;;;1;1;;;;;;;;;;;;
87381020;NEUILLY PORTE MAILLOT - Palais des Congr̬s;;1;;;;;1;;;;;;;;;;;;
87271411;AULNAY SOUS BOIS;1;1;1;;;1;;;;;;1;;;;;;1;
87545731;BONNEVAL;1;;;;;;;;;;;;;;;;;;1
87758854;BURES SUR YVETTE;;1;;;;1;;;;;;;;;;;;;
87758060;CHATOU CROISSY;;1;;;1;;;;;;;;;;;;;;
87381087;COLOMBES;1;;;;;;;;;;1;;;;;;;;
87545145;ETRECHY;;1;;;;;1;;;;;;;;;;;;
87682427;FONTAINE LE PORT;1;;;;;;;;;;;;;;;1;;;
87276071;FRANCONVILLE LE PLESSIS BOUCHARD;1;1;;;;;1;;;1;;;;;;;;;
87393462;HOUDAN;1;;;;;;;;;;;;;1;;;;;
87386003;LA GARENNE COLOMBES;1;;;;;;;;;;;;1;;;;;;
87682179;LE MEE;;1;;;;;;1;;;;;;;;;;;
87381210;LIANCOURT SAINT PIERRE;1;;;;;;;;;;1;;;;;;;;
87682542;SAINT-FARGEAU;1;;;;;;;1;;;;;;;;;;;
87683227;SAINT-JULIEN DU SAULT;1;;;;;;;;;;;;;;;;;;1
87276600;SAINT-LEU LA FORET;1;;;;;;;;;1;;;;;;;;;
87382341;SEVRES VILLE D'AVRAY;1;;;;;;;;;;;;1;;;;;;
87682252;THOMERY;1;;;;;;;;;;;;;;;1;;;
87276535;VALMONDOIS;1;;;;;;;;;1;;;;;;;;;
87393488;DREUX;1;;;;;;;;;;;;;1;;;;;
87271510;VILLEPARISIS MITRY LE NEUF;;1;;;;1;;;;;;;;;;;;;
87545285;CHOISY LE ROI;;1;;;;;1;;;;;;;;;;;;
87116301;COULOMMIERS;1;;;;;;;;;;;;;;1;;;;
87393405;FONTENAY LE FLEURY;1;;;;;;;;;;;;;1;;;;;
