Code_UIC;Libelle_point_arret;train;RER;tram;bus;A;B;C;D;E;H;J;K;L;N;P;R;U;T4;TER
87682401;LIVRY SUR SEINE;1;;;;;;;;;;;;;;;1;;;
87276469;PERSAN BEAUMONT;1;;;;;;;;;1;;;;;;;;;
87381814;VAUX SUR SEINE;1;;;;;;;;;;1;;;;;;;;
87382457;LOUVECIENNES;1;;;;;;;;;;;;1;;;;;;
87758771;LES BACONNETS;;1;;;;1;;;;;;;;;;;;;
87393116;BELLEVUE;1;;;;;;;;;;;;;1;;;;;
87394114;EPERNON;1;;;;;;;;;;;;;;;;;;1
87381244;GISORS;1;;;;;;;;;;1;;;;;;;;
87116046;EMERAINVILLE - PONTAULT COMBAULT;;1;;;;;;;1;;;;;;;;;;
87271148;EPINAY SUR SEINE;;1;;;;;1;;;;;;;;;;;;
87758730;PARC DE SCEAUX;;1;;;;1;;;;;;;;;;;;;
87758664;LAPLACE;;1;;;;1;;;;;;;;;;;;;
87545202;SAINT-MICHEL SUR ORGE;;1;;;;;1;;;;;;;;;;;;
87545251;ATHIS MONS;;1;;;;;1;;;;;;;;;;;;
87332965;CREDIT AGRICOLE (DOMMERVILLE);;;;1;;;1;;;;;;;;;;;;
87683201;ETIGNY VERON;1;;;;;;;;;;;;;;;;;;1
87758128;FONTENAY SOUS BOIS;;1;;;1;;;;;;;;;;;;;;
87271205;GENNEVILLIERS;;1;;;;;1;;;;;;;;;;;;
87271551;LE PLESSIS BELLEVILLE;1;;;;;;;;;;;1;;;;;;;
87988717;LYCEE HENRI SELLIER (T4);;;1;;;;;;;;;;;;;;;1;
87393470;MARCHEZAIS BROUE;1;;;;;;;;;;;;;1;;;;;
87393314;RAMBOUILLET;1;;;;;;;;;;;;;1;;;;;
87276105;SAINT-OUEN L'AUMONE;1;1;;;;;1;;;1;;;;;;;;;
87328328;BIBLIOTHEQUE FRANCOIS MITTERRAND;;1;;;;;1;;;;;;;;;;;;
87415893;BONNIERES;1;;;;;;;;;;1;;;;;;;;
87116343;CHAILLY BOISSY LE CHATEL;;;;1;;;;;;;;;;;1;;;;
87387001;EVREUX;1;;;;;;;;;;;;;;;;;;1
87681361;EVRY - Val de Seine;;1;;;;;;1;;;;;;;;;;;
87758029;GARE DE NANTERRE PREFECTURE;;1;;;1;;;;;;;;;;;;;;
87430884;JOUY SUR MORIN MONUMENT;;;;1;;;;;;;;;;;1;;;;
87271478;LE BLANC MESNIL;;1;;;;1;;;;;;;;;;;;;
87546226;LES SAULES;;1;;;;;1;;;;;;;;;;;;
87382473;L'ETANG LA VILLE;1;;;;;;;;;;;;1;;;;;;
87393892;MONTFORT L'AMAURY MERE;1;;;;;;;;;;;;;1;;;;;
87386052;ACHERES GRAND CORMIER;1;1;;;1;;;;;;;;;;;;;;
87276022;ENGHIEN LES BAINS;1;;;;;;;;;1;;;;;;;;;
87386763;EPONE MEZIERES;1;;;;;;;;;;1;;;1;;;;;
87276584;ERMONT HALTE;1;;;;;;;;;1;;;;;;;;;
87116137;LONGUEVILLE;1;;;;;;;;;;;;;;1;;;;
87758821;LOZERE;;1;;;;1;;;;;;;;;;;;;
87391003;PARIS MONTPARNASSE (GARE MONTPARNASSE);1;;;;;;;;;;;;;1;;;;;
87276097;PIERRELAYE;1;1;;;;;1;;;1;;;;;;;;;
87393041;PONT DE L'ALMA;;1;;;;;1;;;;;;;;;;;;
87116160;PROVINS;1;;;;;;;;;;;;;;1;;;;
87113704;ROSNY SOUS BOIS;;1;;;;;;;1;;;;;;;;;;
87431791;ROUGEMONT CHANTELOUP (T4);;;1;;;;;;;;;;;;;;;1;
87543207;AVENUE DU PRESIDENT KENNEDY - Maison de Radio France;;1;;;;;1;;;;;;;;;;;;
87382655;CERGY LE HAUT;1;1;;;1;;;;;;;;1;;;;;;
87545152;CHAMARANDE;;1;;;;;1;;;;;;;;;;;;
87276030;CHAMP DE COURSES D'ENGHIEN;1;;;;;;;;;1;;;;;;;;;
87391565;CLAMART;1;;;;;;;;;;;;;1;;;;;
87758888;COURCELLE SUR YVETTE;;1;;;;1;;;;;;;;;;;;;
87545228;EPINAY SUR ORGE;;1;;;;;1;;;;;;;;;;;;
87271122;EPINAY VILLETANEUSE;1;;;;;;;;;1;;;;;;;;;
87116327;ESBLY;1;;;;;;;;;;;;;;1;;;;
87758714;FONTENAY AUX ROSES;;1;;;;1;;;;;;;;;;;;;
87758813;PALAISEAU VILLEBON;;1;;;;1;;;;;;;;;;;;;
87113001;PARIS EST (GARE DE L'EST);1;;;;;;;;;;;;;;1;;;;
87682526;PONTHIERRY PRINGY;;1;;;;;;1;;;;;;;;;;;
87758896;SAINT-REMY LES CHEVREUSE;;1;;;;1;;;;;;;;;;;;;
87276386;SARCELLES SAINT-BRICE;1;;;;;;;;;1;;;;;;;;;
87272039;SEUGY;1;;;;;;;;;1;;;;;;;;;
87381822;THUN LE PARADIS;1;;;;;;;;;;1;;;;;;;;
87381046;AVENUE HENRI MARTIN;;1;;;;;1;;;;;;;;;;;;
87684191;BAGNEAUX SUR LOING;1;;;;;;;;;;;;;;;1;;;
87684407;BOIGNEVILLE;;1;;;;;;1;;;;;;;;;;;
87545194;BRETIGNY;;1;;;;;1;;;;;;;;;;;;
87281899;HAUSSMANN SAINT-LAZARE;;1;;;;;;;1;;;;;;;;;;
87430819;LA FERTE GAUCHER CENTRE;;;;1;;;;;;;;;;;1;;;;
87758169;LE PARC DE SAINT-MAUR;;1;;;1;;;;;;;;;;;;;;
87113472;LE RAINCY VILLEMONBLE MONTFERMEIL;;1;;;;;;;1;;;;;;;;;;
87116632;LIZY SUR OURCQ;1;;;;;;;;;;;;;;1;;;;
87393611;LONGJUMEAU;;1;;;;;1;;;;;;;;;;;;
87113878;ALLEE DE LA TOUR RENDEZ VOUS (T4);;;1;;;;;;;;;;;;;;;1;
87684118;BOURRON MARLOTTE GREZ;1;;;;;;;;;;;;;;;1;;;
87682211;FONTAINEBLEAU AVON;1;;;;;;;;;;;;;;;1;;;
87381889;HERBLAY;1;;;;;;;;;;1;;;;;;;;
87682435;HERICY;1;;;;;;;;;;;;;;;1;;;
87381574;ISSOU PORCHEVILLE;1;;;;;;;;;;1;;;;;;;;
87545244;JUVISY;;1;;;;;1;1;;;;;;;;;;;
87393298;LE PERRAY;1;;;;;;;;;;;;;1;;;;;
87382366;LE VAL D'OR;1;;;;;;;;;;;;1;;;;1;;
87681247;LE VERT DE MAISONS;;1;;;;;;1;;;;;;;;;;;
87681486;MAISSE;;1;;;;;;1;;;;;;;;;;;
87381723;MAULE;1;;;;;;;;;;;;;1;;;;;
87271585;ORMOY VILLERS;1;;;;;;;;;;;1;;;;;;;
87271031;PARIS NORD (GARE DU NORD);1;1;;;;1;;1;;1;;1;;;;;;;
87393165;PORCHEFONTAINE;;1;;;;;1;;;;;;;;;;;;
87113696;ROSNY BOIS PERRIER;;1;;;;;;;1;;;;;;;;;;
87415885;ROSNY SUR SEINE;1;;;;;;;;;;1;;;;;;;;
87545509;SAINT-CHERON;;1;;;;;1;;;;;;;;;;;;
87381426;SAINT-OUEN L'AUMONE QUARTIER DE L'EGLISE;1;;;;;;;;;;1;;;;;;;;
87272054;THIEUX NANTOUILLET;1;;;;;;;;;;;1;;;;;;;
87116210;TOURNAN;1;1;;;;;;;1;;;;;;1;;;;
87271536;DAMMARTIN JUILLY SAINT-MARD;1;;;;;;;;;;;1;;;;;;;
87545467;ARPAJON;;1;;;;;1;;;;;;;;;;;;
87276642;BESSANCOURT;1;;;;;;;;;1;;;;;;;;;
87545491;BREUILLET VILLAGE;;1;;;;;1;;;;;;;;;;;;
87382499;CERGY SAINT-CHRISTOPHE;1;1;;;1;;;;;;;;1;;;;;;
87684233;DORDIVES;1;;;;;;;;;;;;;;;1;;;
87276147;EPLUCHES;1;;;;;;;;;1;;;;;;;;;
87381202;LA VILLETERTRE;1;;;;;;;;;;1;;;;;;;;
87382812;MAREIL MARLY;1;;;;;;;;;;;;1;;;;;;
87116285;MOUROUX;1;;;;;;;;;;;;;;1;;;;
87547307;MUSEE D'ORSAY;;1;;;;;1;;;;;;;;;;;;
87381731;NEZEL AULNAY;1;;;;;;;;;;;;;1;;;;;
87113217;NOISY LE SEC;;1;1;;;;;;1;;;;;;;;;;
87393447;ORGERUS BEHOUST;1;;;;;;;;;;;;;1;;;;;
87381012;PEREIRE LEVALLOIS;;1;;;;;1;;;;;;;;;;;;
87111278;PORTE DE CLICHY;;1;;;;;1;;;;;;;;;;;;
87758052;RUEIL MALMAISON;;1;;;1;;;;;;;;;;;;;;
87366922;SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX;1;;;;;;;;;;;;1;;;;;;
87271247;SAINT-OUEN;;1;;;;;1;;;;;;;;;;;;
87276188;SANNOIS;1;;;;;;;;;;1;;;;;;;;
87758839;LE GUICHET;;1;;;;1;;;;;;;;;;;;;
87386300;LES VALLEES;1;;;;;;;;;;;;1;;;;;;
87684415;MALESHERBES;;1;;;;;;1;;;;;;;;;;;
87116228;MARLES EN BRIE;1;;;;;;;;;;;;;;1;;;;
87116020;OZOIR LA FERRIERE;;1;;;;;;;1;;;;;;;;;;
87381111;PONT CARDINET;1;;;;;;;;;;;;1;;;;;;
87382358;SAINT-CLOUD;1;;;;;;;;;;;;1;;;;1;;
87276170;SAINT-GRATIEN;;1;;;;;1;;;;;;;;;;;;
87381236;TRIE CHATEAU;1;;;;;;;;;;1;;;;;;;;
87116491;TRILPORT;1;;;;;;;;;;;;;;1;;;;
87683102;VILLENEUVE LA GUYARD;1;;;;;;;;;;;;;;;;;;1
87682294;SAINT-MAMMES;1;;;;;;;;;;;;;;;1;;;
87758151;SAINT-MAUR CRETEIL;;1;;;1;;;;;;;;;;;;;;
87276220;VILLIERS LE BEL GONESSE ARNOUVILLE;;1;;;;;;1;;;;;;;;;;;
87116749;VILLIERS MONTBARBIN;1;;;;;;;;;;;;;;1;;;;
87393124;SEVRES RIVE GAUCHE;1;;;;;;;;;;;;;1;;;;;
87393538;VAUBOYEN;;1;;;;;1;;;;;;;;;;;;
87683219;VILLENEUVE SUR YONNE;1;;;;;;;;;;;;;;;;;;1
87386417;SARTROUVILLE;1;1;;;1;;;;;;;;1;;;;;;
87681809;VILLENEUVE TRIAGE;;1;;;;;;1;;;;;;;;;;;
87393884;VILLIERS NEAUPHLE PONTCHARTRAIN;1;;;;;;;;;;;;;1;;;;;
87758359;NOISIEL;;1;;;1;;;;;;;;;;;;;;
87758649;CITE UNIVERSITAIRE;;1;1;;;1;;;;;;;;;;;;;
87382804;SAINT-GERMAIN EN LAYE GRANDE CEINTURE;1;;;;;;;;;;;;1;;;;;;
87332940;MONNERVILLE CENTRE;;;;1;;;1;;;;;;;;;;;;
87543181;BOULAINVILLIERS;;1;;;;;1;;;;;;;;;;;;
