stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8711300,"GARE DE PARIS EST",,48.876202,2.35828,,,1,
StopArea:DUA8711610,"MEAUX",,48.956995,2.874017,,,1,
StopArea:DUA8711649,"TRILPORT",,48.960226,2.95006,,,1,
StopArea:DUA8711650,"CHANGIS SAINT-JEAN",,48.958998,3.025092,,,1,
StopArea:DUA8711651,"LA FERTE SOUS JOUARRE",,48.950549,3.124783,,,1,
StopArea:DUA8711655,"NANTEUIL SAACY",,48.97389,3.219757,,,1,
StopArea:DUA8711656,"NOGENT L'ARTAUD CHARLY",,48.968768,3.322956,,,1,
StopArea:DUA8711657,"CHEZY SUR MARNE",,48.990359,3.361628,,,1,
StopArea:DUA8711658,"CHATEAU THIERRY",,49.037949,3.409597,,,1,
StopArea:DUA8711621,"TOURNAN",,48.73899,2.759451,,,1,
StopArea:DUA8711622,"MARLES EN BRIE",,48.734087,2.868108,,,1,
StopArea:DUA8711624,"MORTCERF",,48.789497,2.907387,,,1,
StopArea:DUA8711626,"GUERARD LA CELLE SUR MORIN",,48.810779,2.955082,,,1,
StopArea:DUA8711627,"FAREMOUTIERS POMMEUSE",,48.808654,2.99311,,,1,
StopArea:DUA8711628,"MOUROUX",,48.814085,3.042844,,,1,
StopArea:DUA8711630,"COULOMMIERS",,48.808004,3.081887,,,1,
StopArea:DUA8711661,"ISLES ARMENTIERES CONGIS",,48.998273,3.007334,,,1,
StopArea:DUA8711663,"LIZY SUR OURCQ",,49.021915,3.031758,,,1,
StopArea:DUA8711664,"CROUY SUR OURCQ",,49.091908,3.062916,,,1,
StopArea:DUA8711666,"MAREUIL SUR OURCQ",,49.135474,3.075627,,,1,
StopArea:DUA8711667,"LA FERTE MILON",,49.179505,3.120613,,,1,
StopArea:DUA8711613,"LONGUEVILLE",,48.51361,3.249746,,,1,
StopArea:DUA8765479,"GARE DE ROSA PARKS",,48.896909,2.37181,,,1,
StopArea:DUA8711320,"PANTIN",,48.897165,2.40051,,,1,
StopArea:DUA8711321,"NOISY LE SEC",,48.895485,2.460161,,,1,
StopArea:DUA8711347,"LE RAINCY VILLEMOMBLE MONTFERMEIL",,48.88953,2.512214,,,1,
StopArea:DUA8711351,"GAGNY",,48.88352,2.52639,,,1,
StopArea:DUA8711352,"LE CHENAY GAGNY",,48.876457,2.551386,,,1,
StopArea:DUA8711611,"CHELLES GOURNAY",,48.874838,2.584126,,,1,
StopArea:DUA8711629,"VAIRES TORCY",,48.875491,2.639087,,,1,
StopArea:DUA8711631,"LAGNY THORIGNY",,48.88162,2.706439,,,1,
StopArea:DUA8711607,"VERNEUIL L'ETANG",,48.644663,2.82514,,,1,
StopArea:DUA8711608,"MORMANT",,48.613265,2.889336,,,1,
StopArea:DUA8711609,"NANGIS",,48.561577,3.012158,,,1,
StopArea:DUA8711617,"SAINTE-COLOMBE SEPTVEILLES",,48.529149,3.255368,,,1,
StopArea:DUA8711587,"CHAMPBENOIST POIGNY",,48.545595,3.287313,,,1,
